date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.32,80.7,23.66,26.51,21.74,-3.23,-3.27,4.6,44.7,14.65,0.81,100.76,101320.0,100760.0
2021-01-02,101.25,85.8,24.05,26.52,22.04,-2.82,-4.34,5.27,33.0,16.01,8.12,100.69,101250.0,100690.0
2021-01-03,101.14,84.67,24.61,27.52,22.54,-3.63,-3.25,4.97,48.2,16.34,2.08,100.58,101140.0,100580.0
2021-01-04,101.15,84.78,24.93,27.91,22.45,-3.52,-2.71,4.55,52.4,16.65,8.29,100.59,101150.0,100590.0
2021-01-05,101.15,92.6,24.85,26.54,23.55,-3.12,-1.54,3.7,63.7,18.18,49.85,100.59,101150.0,100590.0
2021-01-06,101.09,93.15,25.04,26.67,23.64,-3.12,-1.4,3.46,65.8,18.51,40.12,100.53,101090.0,100530.0
2021-01-07,100.96,89.82,25.12,27.22,23.84,-2.78,-2.44,3.72,48.8,17.93,5.7,100.4,100960.0,100400.0
2021-01-08,100.9,88.69,25.43,28.11,23.45,-2.82,-2.3,3.77,50.8,18.05,2.18,100.34,100900.0,100340.0
2021-01-09,100.99,86.05,25.18,27.64,23.51,-2.79,-2.51,3.81,48.0,17.2,0.3,100.43,100990.0,100430.0
2021-01-10,101.04,86.9,25.21,27.91,23.61,-2.76,-3.18,4.28,40.9,17.38,0.79,100.48,101040.0,100480.0
2021-01-11,101.14,88.24,25.26,27.74,23.68,-1.91,-3.95,4.53,25.8,17.72,1.1,100.58,101140.0,100580.0
2021-01-12,101.16,84.98,25.31,27.93,23.54,-2.94,-3.89,5.05,37.1,17.07,0.72,100.6,101160.0,100600.0
2021-01-13,101.18,82.87,25.21,28.2,22.84,-3.09,-3.12,4.46,44.7,16.51,0.23,100.63,101180.0,100630.0
2021-01-14,101.14,83.99,24.91,27.88,23.02,-3.16,-2.94,4.35,47.1,16.48,1.36,100.58,101140.0,100580.0
2021-01-15,101.13,81.17,24.54,27.75,22.12,-2.9,-2.68,3.96,47.3,15.56,0.16,100.57,101130.0,100570.0
2021-01-16,101.08,76.56,23.98,27.83,20.94,-2.56,-1.51,3.05,59.5,14.14,0.0,100.52,101080.0,100520.0
2021-01-17,101.18,76.78,23.77,27.32,21.52,-3.13,-1.47,3.47,64.9,14.03,0.0,100.62,101180.0,100620.0
2021-01-18,101.27,74.98,24.03,27.54,21.13,-3.54,-2.12,4.14,59.0,13.88,0.0,100.71,101270.0,100710.0
2021-01-19,101.23,77.33,23.99,27.54,21.41,-2.15,-3.19,3.87,34.0,14.27,0.0,100.67,101230.0,100670.0
2021-01-20,101.22,81.58,24.47,28.33,21.25,-1.43,-3.17,3.57,24.3,15.53,0.01,100.66,101220.0,100660.0
2021-01-21,101.16,83.88,25.46,29.28,22.32,-1.72,-0.82,2.34,64.5,16.99,0.0,100.6,101160.0,100600.0
2021-01-22,101.17,84.5,25.33,28.65,22.73,-2.48,0.13,2.63,93.1,16.92,0.0,100.61,101170.0,100610.0
2021-01-23,101.23,81.15,24.61,28.31,22.09,-2.45,-0.81,2.66,71.6,15.54,0.0,100.67,101230.0,100670.0
2021-01-24,101.31,74.19,24.41,28.19,21.57,-1.76,-0.73,2.09,67.5,13.98,0.0,100.75,101310.0,100750.0
2021-01-25,101.35,71.81,24.55,28.35,21.44,-2.08,-0.6,2.19,74.0,13.68,0.0,100.79,101350.0,100790.0
2021-01-26,101.31,72.46,24.14,27.98,21.05,-2.09,-1.33,2.68,57.6,13.43,0.0,100.74,101310.0,100740.0
2021-01-27,101.33,75.69,24.1,27.6,21.43,-2.02,-0.66,2.23,72.0,14.08,0.02,100.77,101330.0,100770.0
2021-01-28,101.35,78.7,24.31,27.85,21.59,-3.2,-1.87,3.74,59.7,14.79,0.03,100.78,101350.0,100780.0
2021-01-29,101.37,75.09,24.56,28.22,22.28,-2.65,-2.69,3.88,44.5,14.3,0.09,100.81,101370.0,100810.0
2021-01-30,101.3,77.96,24.49,28.44,21.2,-2.3,-2.38,3.39,44.0,14.81,0.0,100.74,101300.0,100740.0
2021-01-31,101.37,81.14,24.29,28.44,21.3,-2.72,-2.79,3.93,44.2,15.16,0.0,100.8,101370.0,100800.0
2021-02-01,101.53,78.76,24.37,28.37,20.72,-2.92,-3.27,4.45,41.8,14.76,0.0,100.96,101530.0,100960.0
2021-02-02,101.53,79.32,24.53,28.07,21.64,-3.3,-2.52,4.16,52.7,15.08,0.34,100.96,101530.0,100960.0
2021-02-03,101.48,74.34,24.29,27.94,21.86,-3.63,-2.42,4.37,56.3,13.91,0.2,100.91,101480.0,100910.0
2021-02-04,101.47,71.75,23.75,27.86,20.9,-3.06,-2.62,4.04,49.5,12.93,0.0,100.91,101470.0,100910.0
2021-02-05,101.37,74.17,23.31,27.57,19.96,-2.75,-2.82,3.97,44.3,13.05,0.0,100.81,101370.0,100810.0
2021-02-06,101.29,73.86,23.33,28.01,19.84,-2.48,-2.99,3.97,39.7,12.97,0.0,100.72,101290.0,100720.0
2021-02-07,101.32,74.93,23.23,28.15,19.14,-2.21,-3.87,4.5,29.7,13.04,0.0,100.76,101320.0,100760.0
2021-02-08,101.41,73.74,23.78,28.39,20.11,-3.69,-3.46,5.09,46.8,13.29,0.0,100.84,101410.0,100840.0
2021-02-09,101.35,73.06,23.41,27.41,20.37,-3.15,-2.92,4.33,47.2,12.97,0.0,100.79,101350.0,100790.0
2021-02-10,101.28,73.07,22.96,27.45,19.27,-2.21,-1.94,3.1,48.8,12.61,0.0,100.72,101280.0,100720.0
2021-02-11,101.23,71.29,23.05,27.5,19.93,-2.56,-1.01,2.86,68.4,12.38,0.0,100.67,101230.0,100670.0
2021-02-12,101.32,70.24,23.28,27.57,20.06,-2.25,-1.14,2.6,63.1,12.37,0.0,100.76,101320.0,100760.0
2021-02-13,101.37,71.32,23.5,28.04,20.19,-2.14,-1.55,2.75,54.2,12.66,0.0,100.81,101370.0,100810.0
2021-02-14,101.35,72.04,23.24,28.21,18.82,-1.38,-0.86,2.17,58.0,12.46,0.0,100.79,101350.0,100790.0
2021-02-15,101.22,71.58,23.68,29.25,18.97,-1.45,-0.82,2.5,60.5,12.68,0.0,100.66,101220.0,100660.0
2021-02-16,101.2,74.22,23.88,28.61,20.34,-2.06,0.24,2.2,96.7,13.48,0.0,100.64,101200.0,100640.0
2021-02-17,101.19,74.76,24.38,28.93,21.16,-2.94,-0.18,3.0,86.4,14.02,0.0,100.63,101190.0,100630.0
2021-02-18,101.32,74.63,24.42,28.63,21.13,-3.9,-1.43,4.18,69.8,14.03,0.0,100.76,101320.0,100760.0
2021-02-19,101.32,77.02,25.13,28.94,21.91,-3.1,-2.96,4.35,46.3,15.2,2.22,100.76,101320.0,100760.0
2021-02-20,101.26,82.76,25.38,28.54,23.29,-3.9,-3.95,5.76,44.7,16.65,4.31,100.69,101260.0,100690.0
2021-02-21,101.35,83.59,25.14,27.62,23.4,-4.43,-2.69,5.32,58.7,16.58,16.57,100.79,101350.0,100790.0
2021-02-22,101.39,79.29,25.44,29.28,22.85,-2.42,-3.05,3.94,38.5,15.89,0.17,100.82,101390.0,100820.0
2021-02-23,101.26,78.3,25.11,29.84,22.02,-2.17,-1.87,3.02,49.2,15.28,0.0,100.7,101260.0,100700.0
2021-02-24,101.18,74.23,25.0,30.17,21.13,-1.85,-0.36,2.11,79.1,14.28,0.0,100.63,101180.0,100630.0
2021-02-25,101.13,70.83,25.21,31.4,20.48,-1.15,0.49,2.02,113.2,13.65,0.0,100.57,101130.0,100570.0
2021-02-26,100.97,71.58,25.26,32.23,19.34,-0.46,0.98,2.63,155.1,13.71,0.0,100.42,100970.0,100420.0
2021-02-27,100.91,76.26,25.35,32.13,20.18,-0.17,2.15,3.08,175.5,14.75,0.0,100.35,100910.0,100350.0
2021-02-28,101.0,77.26,25.31,31.66,20.32,-0.75,2.31,3.13,162.1,14.99,0.0,100.45,101000.0,100450.0
2021-03-01,101.26,75.21,26.05,32.8,21.01,-0.52,2.57,3.01,168.5,15.04,0.0,100.7,101260.0,100700.0
2021-03-02,101.29,73.84,25.73,31.61,21.35,-0.73,2.55,2.98,164.1,14.59,0.0,100.74,101290.0,100740.0
2021-03-03,101.2,71.13,25.52,31.99,20.74,-1.27,1.68,2.76,142.9,13.81,0.0,100.65,101200.0,100650.0
2021-03-04,101.25,71.19,25.64,31.38,21.54,-1.9,1.34,2.64,125.2,14.0,0.0,100.68,101250.0,100680.0
2021-03-05,101.33,71.3,25.56,31.57,20.33,-1.53,0.6,2.23,111.5,13.96,0.0,100.77,101330.0,100770.0
2021-03-06,101.27,70.72,26.38,33.35,20.45,-0.94,0.68,2.35,126.1,14.36,0.0,100.72,101270.0,100720.0
2021-03-07,101.19,73.74,26.48,32.9,21.08,-1.28,1.42,2.57,137.9,15.14,0.0,100.64,101190.0,100640.0
